"metric","1stQ","3rdQ","avg","median","min","max","max-min","stddev","u-fence","threshold"
"SLOC",19.0,84.0,77.71520252498685,40.0,3.0,4529.0,4526.0,155.79016156390915,181.5,500.0
"NOM",2.0,9.0,8.18621778011573,5.0,0.0,398.0,398.0,14.339684580542853,19.5,14.0
"NPM",2.0,8.0,7.006417674907943,4.0,0.0,392.0,392.0,12.305289866892311,17.0,40.0
"WMC",3.0,14.0,13.940557601262494,6.0,1.0,877.0,876.0,30.020700231730913,30.5,100.0
"DEP",2.0,11.0,8.150341925302472,6.0,0.0,170.0,170.0,9.630829865152013,24.5,20.0
"I-DEP",0.0,4.0,3.114150447133088,1.0,0.0,125.0,125.0,5.865161604644093,10.0,15.0
"FAN-IN",0.0,3.0,4.138558653340347,1.0,0.0,888.0,888.0,22.450058006562152,7.5,10.0
"FAN-OUT",1.0,7.0,4.8778537611783275,3.0,0.0,156.0,156.0,7.211461362535889,16.0,15.0
"NOA",0.0,3.0,2.6980536559705417,2.0,0.0,225.0,225.0,5.1218237767280215,7.5,8.0
"LCOM3",0.0,0.9333333333333333,0.5842316636784971,0.8,0.0,2.0,2.0,0.45934921055616446,2.333333333333333,1.0
